ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2016-0001,CONDUCTOR,AUTO,MOTO,MASCULINO,19,Menos de 20,2016,1,1,Viernes,4,04:00:00,1,MOTO-AUTO,2016-01-01,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47533969,-34.68757022",-58.47533969,-34.68757022
2016-0002,CONDUCTOR,PASAJEROS,AUTO,MASCULINO,70,Entre 61 y 80,2016,1,2,Sabado,1,01:15:00,1,AUTO-PASAJEROS,2016-01-02,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50877521,-34.66977709",-58.50877521,-34.66977709
2016-0003,CONDUCTOR,AUTO,MOTO,MASCULINO,30,Entre 21 y 40,2016,1,3,Domingo,7,07:00:00,1,MOTO-AUTO,2016-01-03,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.39040293,-34.63189362",-58.39040293,-34.63189362
2016-0004,CONDUCTOR,SD,MOTO,MASCULINO,18,Menos de 20,2016,1,10,Domingo,0,00:00:00,1,MOTO-SD,,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.46503904,-34.68092974",-58.46503904,-34.68092974
2016-0005,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,29,Entre 21 y 40,2016,1,21,Jueves,5,05:20:00,1,MOTO-PASAJEROS,2016-02-01,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38718297,-34.6224663",-58.38718297,-34.6224663
2016-0008,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,30,Entre 21 y 40,2016,1,24,Domingo,18,18:30:00,1,MOTO-OBJETO FIJO,2016-01-24,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.44451316,-34.68475866",-58.44451316,-34.68475866
2016-0009,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,29,Entre 21 y 40,2016,1,24,Domingo,19,19:10:00,1,MOTO-AUTO,2016-01-26,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",COMUNA 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,"-58.50095869,-34.6082544",-58.50095869,-34.6082544
2016-0010,CONDUCTOR,AUTO,MOTO,MASCULINO,18,Menos de 20,2016,1,29,Viernes,15,15:20:00,1,MOTO-AUTO,2016-01-29,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50877521,-34.66977709",-58.50877521,-34.66977709
2016-0012,CONDUCTOR,CARGAS,MOTO,MASCULINO,22,Entre 21 y 40,2016,2,8,Lunes,1,01:20:00,1,MOTO-CARGAS,2016-02-08,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38048577,-34.61303893",-58.38048577,-34.61303893
2016-0013,PEATON,AUTO,PEATON,MASCULINO,16,Menos de 20,2016,2,10,Miercoles,11,11:30:00,1,PEATON-AUTO,2016-02-10,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.39114932,-34.62477387",-58.39114932,-34.62477387
